variable_1	variable_2	test_method	correlation	test_pval	test_pval_corrected
fare	pclass	spearman	-0.6880316726256096	6.194553731421917e-126	6.194553731421916e-125
parch	sibsp	spearman	0.45001397100861634	1.226001634071391e-45	6.130008170356955e-45
fare	sibsp	spearman	0.4471129882944581	5.2508537922380235e-45	1.7502845974126747e-44
fare	parch	spearman	0.4100738082761382	1.8607795950508872e-37	4.651948987627218e-37
age	pclass	spearman	-0.36166557503434504	1.736017131547625e-23	3.47203426309525e-23
parch	age	spearman	-0.2542121174301802	5.408556597051312e-12	9.01426099508552e-12
sibsp	age	spearman	-0.1820612589179174	9.717194149362118e-07	1.388170592766017e-06
fare	age	spearman	0.13505121773428777	0.00029580903243060916	0.00036976129053826144
sibsp	pclass	spearman	-0.04301876651204207	0.19953228732086473	0.22170254146762747
parch	pclass	spearman	-0.022801341928590464	0.4966663326701515	0.4966663326701515
