variable_1	variable_2	test_method	dof	test_pval	test_pval_corrected
sex	survived	chi2	1	1.1973570627755645e-58	1.7960355941633466e-57
deck	class	chi2	12	6.064159962997284e-30	4.5481199722479634e-29
embark_town	class	chi2	4	8.435267819894384e-26	4.217633909947192e-25
class	survived	chi2	2	4.549251711298793e-23	1.7059693917370474e-22
alone	sex	chi2	1	2.4261835564043597e-19	7.2785506692130795e-19
alone	survived	chi2	1	1.9726543846517183e-09	4.9316359616292955e-09
embark_town	survived	chi2	2	1.769922284120912e-06	3.7926906088305255e-06
class	sex	chi2	2	0.00020638864348233114	0.0003869787065293709
alone	class	chi2	2	0.0002666656057119215	0.0004444426761865359
embark_town	sex	chi2	2	0.0012585245232290144	0.0018877867848435216
alone	embark_town	chi2	2	0.0016679256151052033	0.0022744440205980047
deck	sex	chi2	6	0.00773864323706192	0.0096733040463274
alone	deck	chi2	6	0.03237784221283888	0.037359048707121784
embark_town	deck	chi2	12	0.05591505149916306	0.05990898374910328
deck	survived	chi2	6	0.21476470552598992	0.21476470552598992
